Area Identifier,Area Name,House Prices: Reference Period = 2011; measure type = Lower Quartile,House Prices: Reference Period = 2011; measure type = Mean,House Prices: Reference Period = 2011; measure type = Median,House Prices: Reference Period = 2011; measure type = Upper Quartile,House Prices: Reference Period = 2012; measure type = Lower Quartile,House Prices: Reference Period = 2012; measure type = Mean,House Prices: Reference Period = 2012; measure type = Median,House Prices: Reference Period = 2012; measure type = Upper Quartile,House Prices: Reference Period = 2010; measure type = Lower Quartile,House Prices: Reference Period = 2010; measure type = Mean,House Prices: Reference Period = 2010; measure type = Median,House Prices: Reference Period = 2010; measure type = Upper Quartile,House Prices: Reference Period = 2009; measure type = Lower Quartile,House Prices: Reference Period = 2009; measure type = Mean,House Prices: Reference Period = 2009; measure type = Median,House Prices: Reference Period = 2009; measure type = Upper Quartile
http://statistics.gov.scot/id/statistical-geography/S01000053,S01000053,168000,216808,190000,230000,170000,205954,208280,231764,167000,195730,190000,230000,147500,226965,182500,225000
http://statistics.gov.scot/id/statistical-geography/S01000054,S01000054,235000,270650,246500,275000,252500,303951,267851,291500,250000,308236,295350,340000,230000,264426,250000,300000
http://statistics.gov.scot/id/statistical-geography/S01000055,S01000055,88000,91500,91500,95000,124000,128800,125000,140000,110000,110000,110000,110000,130000,152000,140000,155000
http://statistics.gov.scot/id/statistical-geography/S01000056,S01000056,179500,347500,350000,350000,213000,359923,330000,485000,340000,376906,410000,440000,190000,309371,343168,435000
http://statistics.gov.scot/id/statistical-geography/S01000057,S01000057,105000,110000,110000,115000,90000,105000,105000,120000,95250,109875,118250,124500,87000,94167,87500,108000
http://statistics.gov.scot/id/statistical-geography/S01000058,S01000058,250000,356536,351250,460000,249500,336636,360000,385000,305000,326893,324000,400000,178500,284155,301075,373500
http://statistics.gov.scot/id/statistical-geography/S01000059,S01000059,250000,315614,299750,355000,230000,349217,272000,460000,195000,281280,265000,325000,193000,230697,237500,270000
http://statistics.gov.scot/id/statistical-geography/S01000060,S01000060,54250,64125,63250,74000,75000,75000,75000,75000,62500,62500,62500,62500,75000,78600,75000,92000
http://statistics.gov.scot/id/statistical-geography/S01000061,S01000061,200000,287854,225000,295000,217000,336975,245000,430000,225000,252092,249000,290000,200000,277000,235000,300000
http://statistics.gov.scot/id/statistical-geography/S01000062,S01000062,98000,130805,114000,144000,121000,179166,136350,214000,114558,154244,125000,180000,118000,173212,142569,215000
